Location,Site,Row,Column,BroadLeaf
RS,RS010,3,5,0
RS,RS010,3,6,1
RS,RS010,3,7,1
RS,RS011,1,0,1
RS,RS011,1,1,1
RS,RS011,1,2,1
RS,RS011,1,3,0
RS,RS011,1,4,1
RS,RS011,1,5,1
RS,RS011,1,6,1
RS,RS011,1,7,0
RS,RS011,2,0,9
RS,RS011,2,1,1
RS,RS011,2,2,1
RS,RS011,2,3,0
RS,RS011,2,4,1
RS,RS011,2,5,1
RS,RS011,2,6,1
RS,RS011,2,7,9
RS,RS011,3,0,1
RS,RS011,3,1,1
RS,RS011,3,2,1
RS,RS011,3,3,1
RS,RS011,3,4,1
RS,RS011,3,5,1
RS,RS011,3,6,1
RS,RS011,3,7,0
RS,RS012,1,0,0
RS,RS012,1,1,1
RS,RS012,1,2,0
RS,RS012,1,3,0
RS,RS012,1,4,0
RS,RS012,1,5,0
RS,RS012,1,6,0
RS,RS012,1,7,1
RS,RS012,2,0,1
RS,RS012,2,1,1
RS,RS012,2,2,0
RS,RS012,2,3,0
RS,RS012,2,4,0
RS,RS012,2,5,0
RS,RS012,2,6,0
RS,RS012,2,7,1
RS,RS012,3,0,1
RS,RS012,3,1,1
RS,RS012,3,2,1
RS,RS012,3,3,0
RS,RS012,3,4,0
RS,RS012,3,5,0
RS,RS012,3,6,0
RS,RS012,3,7,1
RS,RS013,1,0,0
RS,RS013,1,1,1
RS,RS013,1,2,0
RS,RS013,1,3,1
RS,RS013,1,4,1
RS,RS013,1,5,0
RS,RS013,1,6,0
RS,RS013,1,7,9
RS,RS013,2,0,0
RS,RS013,2,1,1
RS,RS013,2,2,1
RS,RS013,2,3,1
RS,RS013,2,4,9
RS,RS013,2,5,9
RS,RS013,2,6,9
RS,RS013,2,7,9
RS,RS013,3,0,9
RS,RS013,3,1,1
RS,RS013,3,2,9
RS,RS013,3,3,9
RS,RS013,3,4,9
RS,RS013,3,5,9
RS,RS013,3,6,9
RS,RS013,3,7,9
RS,RS014,1,0,0
RS,RS014,1,1,1
RS,RS014,1,2,1
RS,RS014,1,3,0
RS,RS014,1,4,1
RS,RS014,1,5,0
RS,RS014,1,6,1
RS,RS014,1,7,1
RS,RS014,2,0,0
RS,RS014,2,1,9
RS,RS014,2,2,1
RS,RS014,2,3,1
RS,RS014,2,4,0
RS,RS014,2,5,0
RS,RS014,2,6,1
RS,RS014,2,7,1
RS,RS014,3,0,1
RS,RS014,3,1,1
RS,RS014,3,2,1
RS,RS014,3,3,1
RS,RS014,3,4,0
RS,RS014,3,5,0
RS,RS014,3,6,1
RS,RS014,3,7,1
RS,RS015,1,0,1
RS,RS015,1,1,0
RS,RS015,1,2,0
RS,RS015,1,3,1
RS,RS015,1,4,0
RS,RS015,1,5,0
RS,RS015,1,6,0
RS,RS015,1,7,1
RS,RS015,2,0,1
RS,RS015,2,1,0
RS,RS015,2,2,0
RS,RS015,2,3,1
RS,RS015,2,4,0
RS,RS015,2,5,0
RS,RS015,2,6,0
RS,RS015,2,7,0
RS,RS015,3,0,1
RS,RS015,3,1,0
RS,RS015,3,2,1
RS,RS015,3,3,1
RS,RS015,3,4,0
RS,RS015,3,5,0
RS,RS015,3,6,0
RS,RS015,3,7,0
RS,RS016,1,0,0
RS,RS016,1,1,0
RS,RS016,1,2,0
RS,RS016,1,3,0
RS,RS016,1,4,0
RS,RS016,1,5,0
RS,RS016,1,6,1
RS,RS016,1,7,0
RS,RS016,2,0,0
RS,RS016,2,1,0
RS,RS016,2,2,0
RS,RS016,2,3,0
RS,RS016,2,4,0
RS,RS016,2,5,0
RS,RS016,2,6,1
RS,RS016,2,7,0
RS,RS016,3,0,0
RS,RS016,3,1,1
RS,RS016,3,2,0
