 ,Label,Area,Perim.
92915,p_0_YP15_E_T.tif,2,4.83
92916,p_0_YP15_E_T.tif,79,52.28
92917,p_0_YP15_E_T.tif,4,5.66
92918,p_0_YP15_E_T.tif,6,10.49
92919,p_0_YP15_E_T.tif,1104,270.53
92920,p_0_YP15_E_T.tif,88,57.60
92921,p_0_YP15_E_T.tif,6,8.49
92922,p_0_YP15_E_T.tif,6,12.49
92923,p_0_YP15_E_T.tif,23,20.38
92924,p_0_YP15_E_T.tif,8,10.49
92925,p_0_YP15_E_T.tif,5,11.31
92926,p_0_YP15_E_T.tif,20,23.56
92927,p_0_YP15_E_T.tif,9,11.31
92928,p_0_YP15_E_T.tif,3,5.66
92929,p_0_YP15_E_T.tif,1,2.83
92930,p_0_YP15_E_T.tif,8,9.07
92931,p_0_YP15_E_T.tif,5,7.07
92932,p_0_YP15_E_T.tif,1,2.83
92933,p_0_YP15_E_T.tif,4,5.66
92934,p_0_YP15_E_T.tif,3,6.83
92935,p_0_YP15_E_T.tif,3,7.66
92936,p_0_YP15_E_T.tif,19,17.90
92937,p_0_YP15_E_T.tif,15,15.90
92938,p_0_YP15_E_T.tif,1,2.83
92939,p_0_YP15_E_T.tif,15,13.31
92940,p_0_YP15_E_T.tif,1,2.83
92941,p_0_YP15_E_T.tif,4,7.66
92942,p_0_YP15_E_T.tif,7,9.90
92943,p_0_YP15_E_T.tif,7,9.07
92944,p_0_YP15_E_T.tif,11,16.97
92945,p_0_YP15_E_T.tif,12,11.90
92946,p_0_YP15_E_T.tif,7,9.07
92947,p_0_YP15_E_T.tif,1,2.83
92948,p_0_YP15_E_T.tif,3,5.66
92949,p_0_YP15_E_T.tif,3,5.66
92950,p_0_YP15_E_T.tif,1,2.83
92951,p_0_YP15_E_T.tif,18,16.49
92952,p_0_YP15_E_T.tif,6,10.49
92953,p_0_YP15_E_T.tif,14,23.80
92954,p_0_YP15_E_T.tif,31,22.38
92955,p_0_YP15_E_T.tif,7,9.07
92956,p_0_YP15_E_T.tif,104,53.94
92957,p_0_YP15_E_T.tif,42,31.80
92958,p_0_YP15_E_T.tif,1,2.83
92959,p_0_YP15_E_T.tif,2,5.66
92960,p_0_YP15_E_T.tif,5,8.49
92961,p_0_YP15_E_T.tif,273,121.44
92962,p_0_YP15_E_T.tif,8,10.49
92963,p_0_YP15_E_T.tif,15,17.90
92964,p_0_YP15_E_T.tif,7,8.49
92965,p_0_YP15_E_T.tif,13,13.90
92966,p_0_YP15_E_T.tif,9,10.49
92967,p_0_YP15_E_T.tif,1,2.83
92968,p_0_YP15_E_T.tif,8,9.07
92969,p_0_YP15_E_T.tif,5,7.66
92970,p_0_YP15_E_T.tif,3,5.66
92971,p_0_YP15_E_T.tif,255,66.18
92972,p_0_YP15_E_T.tif,6,9.66
92973,p_0_YP15_E_T.tif,4,7.66
92974,p_0_YP15_E_T.tif,8,10.49
92975,p_0_YP15_E_T.tif,27,21.31
92976,p_0_YP15_E_T.tif,2,4.24
92977,p_0_YP15_E_T.tif,1,2.83
92978,p_0_YP15_E_T.tif,10,10.49
92979,p_0_YP15_E_T.tif,18,16.73
92980,p_0_YP15_E_T.tif,4,7.66
92981,p_0_YP15_E_T.tif,5,7.66
92982,p_0_YP15_E_T.tif,3,6.83
92983,p_0_YP15_E_T.tif,2,4.24
92984,p_0_YP15_E_T.tif,5,9.07
92985,p_0_YP15_E_T.tif,1,2.83
92986,p_0_YP15_E_T.tif,2,4.83
92987,p_0_YP15_E_T.tif,17,15.31
92988,p_0_YP15_E_T.tif,6,8.49
92989,p_0_YP15_E_T.tif,12,12.49
92990,p_0_YP15_E_T.tif,173,73.84
92991,p_0_YP15_E_T.tif,2,5.66
92992,p_0_YP15_E_T.tif,15,19.31
92993,p_0_YP15_E_T.tif,63,42.28
92994,p_0_YP15_E_T.tif,19,16.14
92995,p_0_YP15_E_T.tif,8,13.66
92996,p_0_YP15_E_T.tif,3,5.66
92997,p_0_YP15_E_T.tif,2,4.83
92998,p_0_YP15_E_T.tif,4,7.66
92999,p_0_YP15_E_T.tif,26,21.80
93000,p_0_YP15_E_T.tif,1,2.83
93001,p_0_YP15_E_T.tif,5,8.49
93002,p_0_YP15_E_T.tif,3,5.66
93003,p_0_YP15_E_T.tif,13,13.31
93004,p_0_YP15_E_T.tif,8,9.07
93005,p_0_YP15_E_T.tif,2,5.66
93006,p_0_YP15_E_T.tif,38,25.80
93007,p_0_YP15_E_T.tif,5,7.07
93008,p_0_YP15_E_T.tif,51,43.11
93009,p_0_YP15_E_T.tif,1,2.83
93010,p_0_YP15_E_T.tif,8,10.49
93011,p_0_YP15_E_T.tif,14,15.31
93012,p_0_YP15_E_T.tif,1,2.83
93013,p_0_YP15_E_T.tif,6,9.66
93014,p_0_YP15_E_T.tif,2,5.66
93015,p_0_YP15_E_T.tif,119,75.98
93016,p_0_YP15_E_T.tif,25,24.14
93017,p_0_YP15_E_T.tif,30,34.87
93018,p_0_YP15_E_T.tif,3,5.66
93019,p_0_YP15_E_T.tif,3,5.66
93020,p_0_YP15_E_T.tif,25,22.38
93021,p_0_YP15_E_T.tif,4,7.66
93022,p_0_YP15_E_T.tif,214,62.67
